"ID"	"Estado"	"Periodo"	"Año"	"Género"	 "Edad" 	 "IBC" 	"Ciudad"	"Origen_Afiliado"	"Origen_AFP"	"Nivel_de_Satisfacción"	"PQR"
47833	fugado	2017-11	2017	M	 30 	1765875	Medellín	Traslado de AFP	Porvenir	2	SI
47834	fugado	2017-12	2017	F	 35 	1720389	Barranquilla	Traslado de AFP	Porvenir	1	No
47835	fugado	2017-1	2017	F	 40 	1802327	Bogotá	Traslado de AFP	Porvenir	4	SI
47836	fugado	2017-2	2017	F	 40 	1654430	Bogotá	Traslado de AFP	Porvenir	2	SI
47837	fugado	2017-3	2017	F	 38 	1451449	Cartagena	Traslado de AFP	Porvenir	2	SI
47838	fugado	2017-4	2017	F	 30 	1592845	Barranquilla	Traslado de AFP	Porvenir	1	SI
47839	fugado	2017-5	2017	M	 28 	1453760	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
47840	fugado	2017-6	2017	F	 30 	1669984	Cali	Traslado de AFP	Porvenir	2	SI
47841	fugado	2017-7	2017	M	 38 	1355246	Bogotá	Traslado de AFP	Porvenir	2	No
47842	fugado	2017-8	2017	F	 30 	1253081	Bogotá	Traslado de AFP	Porvenir	1	SI
47843	fugado	2017-9	2017	F	 32 	1614802	Bogotá	Traslado de AFP	Porvenir	1	No
47844	fugado	2017-10	2017	F	 35 	1613740	Bogotá	Traslado de AFP	Porvenir	1	No
47845	fugado	2017-11	2017	M	 33 	7141224	Medellín	Traslado de AFP	Skandia	3	SI
47846	fugado	2017-12	2017	F	 32 	3546552	Bogotá	Traslado de AFP	Protección	4	SI
47847	fugado	2017-1	2017	F	 30 	1671790	Medellín	Traslado de AFP	Porvenir	3	No
47848	fugado	2017-2	2017	F	 33 	1390156	Bogotá	Traslado de AFP	Porvenir	1	SI
47849	fugado	2017-3	2017	F	 35 	3915210	Bogotá	Traslado de AFP	Protección	3	SI
47850	fugado	2017-4	2017	F	 30 	1431372	Medellín	Vinculación Inicial	Primer Trabajo	1	SI
47851	fugado	2017-5	2017	F	 32 	1431889	Bogotá	Traslado de AFP	Porvenir	3	SI
47852	fugado	2017-6	2017	M	 38 	1742684	Bogotá	Traslado de AFP	Porvenir	3	SI
47853	fugado	2017-7	2017	F	 30 	1456033	Bogotá	Traslado de AFP	Porvenir	4	SI
47854	fugado	2017-8	2017	F	 33 	1644828	Medellín	Traslado de AFP	Porvenir	1	No
47855	fugado	2017-9	2017	F	 32 	1760988	Bogotá	Traslado de AFP	Porvenir	4	SI
47856	fugado	2017-10	2017	F	 32 	1468549	Bogotá	Traslado de AFP	Porvenir	3	SI
47857	fugado	2017-11	2017	F	 32 	1212826	Bogotá	Traslado de AFP	Porvenir	3	SI
47858	fugado	2017-12	2017	F	 40 	1242626	Cartagena	Traslado de AFP	Porvenir	2	SI
47859	fugado	2017-1	2017	F	 30 	1424221	Barranquilla	Traslado de AFP	Porvenir	3	SI
47860	fugado	2017-2	2017	F	 40 	1545084	Bogotá	Traslado de AFP	Porvenir	2	SI
47861	fugado	2017-3	2017	F	 32 	1602168	Bogotá	Traslado de AFP	Porvenir	1	SI
47862	fugado	2017-4	2017	F	 30 	1582849	Cali	Traslado de AFP	Porvenir	3	SI
47863	fugado	2017-5	2017	M	 40 	1710109	Cali	Traslado de AFP	Porvenir	4	SI
47864	fugado	2017-6	2017	F	 33 	1471685	Bogotá	Traslado de AFP	Porvenir	3	SI
47865	fugado	2017-7	2017	F	 28 	1430689	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47866	fugado	2017-8	2017	F	 28 	1516697	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47867	fugado	2017-9	2017	F	 39 	1510828	Cali	Traslado de AFP	Porvenir	4	No
47868	fugado	2017-10	2017	F	 34 	1419459	Bogotá	Traslado de AFP	Porvenir	4	SI
47869	fugado	2017-11	2017	F	 30 	1278046	Bogotá	Traslado de AFP	Porvenir	4	No
47870	fugado	2017-12	2017	F	 38 	5126883	Bogotá	Traslado de AFP	Skandia	4	SI
47871	fugado	2017-1	2017	F	 36 	1922381	Bogotá	Traslado de AFP	Porvenir	3	SI
47872	fugado	2017-2	2017	F	 36 	1573193	Bogotá	Traslado de AFP	Porvenir	3	SI
47873	fugado	2017-3	2017	F	 37 	1189309	Bogotá	Traslado de AFP	Porvenir	1	SI
47874	fugado	2017-4	2017	M	 33 	1166719	Bogotá	Traslado de AFP	Porvenir	3	SI
47875	fugado	2017-5	2017	F	 29 	1149414	Bucaramanga	Vinculación Inicial	Primer Trabajo	1	SI
47876	fugado	2017-6	2017	F	 25 	1537655	Cartagena	Vinculación Inicial	Primer Trabajo	1	SI
47877	fugado	2017-7	2017	F	 33 	1777657	Barranquilla	Traslado de AFP	Porvenir	3	SI
47878	fugado	2017-8	2017	F	 36 	1255885	Bucaramanga	Traslado de AFP	Porvenir	3	SI
47879	fugado	2017-9	2017	F	 34 	3421796	Bogotá	Traslado de AFP	Protección	2	SI
47880	fugado	2017-10	2017	F	 30 	1304281	Cali	Traslado de AFP	Porvenir	4	SI
47881	fugado	2017-11	2017	F	 34 	1792943	Cali	Traslado de AFP	Porvenir	4	SI
47882	fugado	2017-12	2017	M	 30 	1479878	Bogotá	Traslado de AFP	Porvenir	3	SI
47883	fugado	2017-1	2017	M	 30 	1343548	Bogotá	Traslado de AFP	Porvenir	4	SI
47884	fugado	2017-2	2017	F	 30 	1353565	Bogotá	Traslado de AFP	Porvenir	3	No
47885	fugado	2017-3	2017	F	 30 	1544571	Bogotá	Traslado de AFP	Porvenir	1	SI
47886	fugado	2017-4	2017	F	 35 	5382534	Medellín	Traslado de AFP	Skandia	3	No
47887	fugado	2017-5	2017	F	 34 	1505618	Medellín	Traslado de AFP	Porvenir	3	SI
47888	fugado	2017-6	2017	M	 26 	1369937	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47889	fugado	2017-7	2017	F	 40 	1624728	Medellín	Traslado de AFP	Porvenir	1	No
47890	fugado	2017-8	2017	F	 34 	1350579	Bogotá	Traslado de AFP	Porvenir	4	SI
47891	fugado	2017-9	2017	F	 40 	1530661	Bogotá	Traslado de AFP	Porvenir	2	SI
47892	fugado	2017-10	2017	F	 40 	3533662	Bogotá	Traslado de AFP	Protección	1	SI
47893	fugado	2017-11	2017	F	 31 	1235758	Cali	Traslado de AFP	Porvenir	3	SI
47894	fugado	2017-12	2017	F	 26 	1653151	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47895	fugado	2017-1	2017	F	 30 	1447557	Bogotá	Traslado de AFP	Porvenir	3	SI
47896	fugado	2017-2	2017	M	 27 	1185912	Bogotá	Vinculación Inicial	Primer Trabajo	1	SI
47897	fugado	2017-3	2017	M	 40 	1509186	Medellín	Traslado de AFP	Porvenir	1	SI
47898	fugado	2017-4	2017	M	 31 	4032748	Bogotá	Traslado de AFP	Protección	2	SI
47899	fugado	2017-5	2017	F	 40 	4539971	Bogotá	Traslado de AFP	Protección	4	SI
47900	fugado	2017-6	2017	F	 40 	5321952	Bogotá	Traslado de AFP	Skandia	1	SI
47901	fugado	2017-7	2017	M	 33 	6593620	Bogotá	Traslado de AFP	Skandia	2	SI
47902	fugado	2017-8	2017	F	 33 	1385155	Cartagena	Traslado de AFP	Porvenir	3	SI
47903	fugado	2017-9	2017	F	 30 	1672321	Barranquilla	Traslado de AFP	Porvenir	4	SI
47904	fugado	2017-10	2017	F	 29 	1487425	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47905	fugado	2017-11	2017	F	 36 	1485639	Bogotá	Traslado de AFP	Porvenir	1	SI
47906	fugado	2017-12	2017	F	 32 	1588696	Bogotá	Traslado de AFP	Porvenir	4	SI
47907	fugado	2017-1	2017	F	 27 	1463841	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47908	fugado	2017-2	2017	F	 34 	1557447	Bogotá	Traslado de AFP	Porvenir	1	SI
47909	fugado	2017-3	2017	F	 31 	6104037	Bucaramanga	Traslado de AFP	Skandia	1	SI
47910	fugado	2017-4	2017	F	 37 	1704393	Bogotá	Traslado de AFP	Porvenir	1	SI
47911	fugado	2017-5	2017	F	 31 	1551771	Bogotá	Traslado de AFP	Porvenir	1	SI
47912	fugado	2017-6	2017	F	 30 	1471586	Bogotá	Traslado de AFP	Porvenir	2	No
47913	fugado	2017-7	2017	F	 33 	1662590	Cali	Traslado de AFP	Porvenir	2	SI
47914	fugado	2017-8	2017	F	 30 	1193925	Barranquilla	Traslado de AFP	Porvenir	2	SI
47915	fugado	2017-9	2017	F	 31 	1221533	Cali	Traslado de AFP	Porvenir	4	SI
47916	fugado	2017-10	2017	F	 30 	1488306	Bogotá	Traslado de AFP	Porvenir	3	SI
47917	fugado	2017-11	2017	F	 40 	1510238	Bogotá	Traslado de AFP	Porvenir	3	SI
47918	fugado	2017-12	2017	F	 34 	1591242	Bogotá	Traslado de AFP	Porvenir	3	SI
47919	fugado	2017-1	2017	F	 34 	1276945	Bogotá	Traslado de AFP	Porvenir	3	SI
47920	fugado	2017-2	2017	F	 32 	1124913	Medellín	Traslado de AFP	Porvenir	4	SI
47921	fugado	2017-3	2017	F	 30 	1554983	Bucaramanga	Traslado de AFP	Porvenir	4	SI
47922	fugado	2017-4	2017	F	 26 	1203312	Cali	Vinculación Inicial	Primer Trabajo	3	SI
47923	fugado	2017-5	2017	F	 36 	1830171	Bogotá	Traslado de AFP	Porvenir	3	SI
47924	fugado	2017-6	2017	F	 35 	3490192	Bogotá	Traslado de AFP	Protección	2	SI
47925	fugado	2017-7	2017	F	 29 	1430933	Bucaramanga	Vinculación Inicial	Primer Trabajo	2	SI
47926	fugado	2017-8	2017	M	 35 	1230809	Bogotá	Traslado de AFP	Porvenir	1	SI
47927	fugado	2017-9	2017	M	 37 	1390266	Cartagena	Traslado de AFP	Porvenir	2	SI
47928	fugado	2017-10	2017	F	 33 	1253735	Medellín	Traslado de AFP	Porvenir	1	SI
47929	fugado	2017-11	2017	F	 40 	1577083	Bogotá	Traslado de AFP	Porvenir	1	SI
47930	fugado	2017-12	2017	M	 28 	1288792	Medellín	Vinculación Inicial	Primer Trabajo	4	SI
47931	fugado	2017-1	2017	F	 34 	1407610	Bogotá	Traslado de AFP	Porvenir	2	SI
47932	fugado	2017-2	2017	F	 35 	1194740	Medellín	Traslado de AFP	Porvenir	3	SI
47933	fugado	2017-3	2017	M	 38 	1043355	Bucaramanga	Traslado de AFP	Porvenir	3	SI
47934	fugado	2017-4	2017	F	 30 	1497667	Bogotá	Traslado de AFP	Porvenir	1	SI
47935	fugado	2017-5	2017	M	 27 	1376844	Medellín	Vinculación Inicial	Primer Trabajo	2	SI
47936	fugado	2017-6	2017	F	 38 	6854991	Barranquilla	Traslado de AFP	Skandia	3	SI
47937	fugado	2017-7	2017	F	 35 	1533520	Cartagena	Traslado de AFP	Porvenir	2	SI
47938	fugado	2017-8	2017	F	 36 	1825321	Bogotá	Traslado de AFP	Porvenir	4	SI
47939	fugado	2017-9	2017	F	 32 	1163117	Bogotá	Traslado de AFP	Porvenir	3	SI
47940	fugado	2017-10	2017	F	 33 	1611464	Bogotá	Traslado de AFP	Porvenir	3	No
47941	fugado	2017-11	2017	F	 38 	1786221	Cartagena	Traslado de AFP	Porvenir	2	SI
47942	fugado	2017-12	2017	F	 34 	1559433	Cali	Traslado de AFP	Porvenir	1	SI
47943	fugado	2017-1	2017	F	 30 	1396638	Bogotá	Traslado de AFP	Porvenir	3	SI
47944	fugado	2017-2	2017	F	 30 	4681603	Bucaramanga	Traslado de AFP	Skandia	3	No
47945	fugado	2017-3	2017	F	 36 	3764028	Cali	Traslado de AFP	Protección	3	SI
47946	fugado	2017-4	2017	F	 34 	1593987	Bogotá	Traslado de AFP	Porvenir	3	SI
47947	fugado	2017-5	2017	F	 26 	1459676	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47948	fugado	2017-6	2017	F	 40 	1669395	Bogotá	Traslado de AFP	Porvenir	1	SI
47949	fugado	2017-7	2017	M	 40 	1397743	Bogotá	Traslado de AFP	Porvenir	4	SI
47950	fugado	2017-8	2017	F	 34 	1903878	Cartagena	Traslado de AFP	Porvenir	3	SI
47951	fugado	2017-9	2017	F	 26 	1527504	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47952	fugado	2017-10	2017	F	 31 	1088860	Bogotá	Traslado de AFP	Porvenir	4	No
47953	fugado	2017-11	2017	F	 40 	3508515	Bogotá	Traslado de AFP	Protección	3	SI
47954	fugado	2017-12	2017	M	 28 	1383031	Bogotá	Vinculación Inicial	Primer Trabajo	1	SI
47955	fugado	2017-1	2017	F	 32 	3206858	Bogotá	Traslado de AFP	Protección	3	SI
47956	fugado	2017-2	2017	F	 30 	3750192	Bogotá	Traslado de AFP	Protección	1	SI
47957	fugado	2017-3	2017	F	 30 	1320416	Bogotá	Traslado de AFP	Porvenir	2	SI
47958	fugado	2017-4	2017	F	 33 	1677864	Bucaramanga	Traslado de AFP	Porvenir	3	SI
47959	fugado	2017-5	2017	F	 40 	1438212	Bogotá	Traslado de AFP	Porvenir	1	SI
47960	fugado	2017-6	2017	M	 34 	1480681	Barranquilla	Traslado de AFP	Porvenir	3	SI
47961	fugado	2017-7	2017	M	 35 	1362734	Bogotá	Traslado de AFP	Porvenir	1	SI
47962	fugado	2017-8	2017	F	 38 	997389	Bogotá	Traslado de AFP	Porvenir	1	SI
47963	fugado	2017-9	2017	F	 40 	1334868	Cali	Traslado de AFP	Porvenir	3	SI
47964	fugado	2017-10	2017	F	 40 	1592314	Medellín	Traslado de AFP	Porvenir	3	No
47965	fugado	2017-11	2017	F	 37 	2132243	Bogotá	Traslado de AFP	Porvenir	1	SI
47966	fugado	2017-12	2017	F	 31 	1300399	Bogotá	Traslado de AFP	Porvenir	2	SI
47967	fugado	2017-1	2017	F	 40 	1728494	Barranquilla	Traslado de AFP	Porvenir	3	SI
47968	fugado	2017-2	2017	F	 30 	1361690	Cartagena	Traslado de AFP	Porvenir	1	SI
47969	fugado	2017-3	2017	F	 27 	1161728	Cali	Vinculación Inicial	Primer Trabajo	2	SI
47970	fugado	2017-4	2017	F	 33 	1907398	Bogotá	Traslado de AFP	Porvenir	1	SI
47971	fugado	2017-5	2017	F	 30 	1472746	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
47972	fugado	2017-6	2017	F	 28 	1452483	Barranquilla	Vinculación Inicial	Primer Trabajo	2	SI
47973	fugado	2017-7	2017	F	 30 	1248444	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47974	fugado	2017-8	2017	F	 30 	1501883	Cali	Traslado de AFP	Porvenir	2	SI
47975	fugado	2017-9	2017	F	 40 	1080023	Bogotá	Traslado de AFP	Porvenir	2	SI
47976	fugado	2017-10	2017	F	 32 	1594557	Bogotá	Traslado de AFP	Porvenir	1	SI
47977	fugado	2017-11	2017	M	 28 	964903	Bogotá	Vinculación Inicial	Primer Trabajo	2	No
47978	fugado	2017-12	2017	F	 40 	3422148	Bogotá	Traslado de AFP	Protección	2	SI
47979	fugado	2017-1	2017	F	 35 	6536120	Bogotá	Traslado de AFP	Skandia	1	SI
47980	fugado	2017-2	2017	F	 40 	1666737	Bucaramanga	Traslado de AFP	Porvenir	2	SI
47981	fugado	2017-3	2017	F	 30 	4105519	Bogotá	Traslado de AFP	Protección	3	SI
47982	fugado	2017-4	2017	F	 30 	1485146	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
47983	fugado	2017-5	2017	F	 38 	1400219	Bogotá	Traslado de AFP	Porvenir	3	SI
47984	fugado	2017-6	2017	M	 40 	1579692	Bogotá	Traslado de AFP	Porvenir	4	SI
47985	fugado	2017-7	2017	M	 34 	3540527	Bucaramanga	Traslado de AFP	Protección	1	SI
47986	fugado	2017-8	2017	F	 25 	1293704	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
47987	fugado	2017-9	2017	F	 40 	1607119	Medellín	Traslado de AFP	Porvenir	2	SI
47988	fugado	2017-10	2017	M	 27 	1773484	Bogotá	Vinculación Inicial	Primer Trabajo	4	No
47989	fugado	2017-11	2017	F	 30 	1477474	Medellín	Traslado de AFP	Porvenir	4	SI
47990	fugado	2017-12	2017	M	 30 	1842048	Bogotá	Traslado de AFP	Porvenir	3	SI
47991	fugado	2017-1	2017	F	 30 	1578170	Bogotá	Traslado de AFP	Porvenir	2	SI
47992	fugado	2017-2	2017	F	 31 	3116036	Bogotá	Traslado de AFP	Protección	3	SI
47993	fugado	2017-3	2017	F	 30 	5168728	Bucaramanga	Traslado de AFP	Skandia	1	SI
47994	fugado	2017-4	2017	M	 32 	4660391	Barranquilla	Traslado de AFP	Skandia	1	SI
47995	fugado	2017-5	2017	F	 33 	1496754	Bogotá	Traslado de AFP	Porvenir	4	SI
47996	fugado	2017-6	2017	F	 33 	1479009	Bogotá	Traslado de AFP	Porvenir	4	SI
47997	fugado	2017-7	2017	M	 31 	1470931	Cartagena	Traslado de AFP	Porvenir	3	SI
47998	fugado	2017-8	2017	F	 35 	1663252	Bogotá	Traslado de AFP	Porvenir	3	SI
47999	fugado	2017-9	2017	F	 26 	1817848	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
48000	fugado	2017-10	2017	F	 30 	1425927	Bogotá	Traslado de AFP	Porvenir	2	SI
48001	fugado	2017-11	2017	M	 30 	1676208	Bogotá	Traslado de AFP	Porvenir	4	SI
48002	fugado	2017-12	2017	F	 26 	1665176	Medellín	Vinculación Inicial	Primer Trabajo	2	SI
48003	fugado	2017-1	2017	F	 27 	1174300	Bogotá	Vinculación Inicial	Primer Trabajo	4	SI
48004	fugado	2017-2	2017	F	 29 	1584496	Bogotá	Vinculación Inicial	Primer Trabajo	1	SI
48005	fugado	2017-3	2017	F	 35 	5424655	Cali	Traslado de AFP	Skandia	3	SI
48006	fugado	2017-4	2017	F	 27 	1529076	Bogotá	Vinculación Inicial	Primer Trabajo	1	SI
48007	fugado	2017-5	2017	F	 30 	1381592	Bogotá	Traslado de AFP	Porvenir	2	SI
48008	fugado	2017-6	2017	F	 28 	1327031	Cali	Vinculación Inicial	Primer Trabajo	4	SI
48009	fugado	2017-7	2017	F	 37 	1347050	Bogotá	Traslado de AFP	Porvenir	4	SI
48010	fugado	2017-8	2017	F	 30 	1497391	Bogotá	Traslado de AFP	Porvenir	2	SI
48011	fugado	2017-9	2017	F	 36 	6566688	Cartagena	Traslado de AFP	Skandia	4	SI
48012	fugado	2017-10	2017	F	 39 	3913246	Medellín	Traslado de AFP	Protección	4	SI
48013	fugado	2017-11	2017	F	 33 	7035774	Barranquilla	Traslado de AFP	Skandia	3	SI
48014	fugado	2017-12	2017	M	 32 	1482424	Medellín	Traslado de AFP	Porvenir	2	SI
48015	fugado	2017-1	2017	F	 32 	1583967	Bogotá	Traslado de AFP	Porvenir	3	SI
48016	fugado	2017-2	2017	F	 33 	1309838	Bogotá	Traslado de AFP	Porvenir	3	SI
48017	fugado	2017-3	2017	M	 40 	1405910	Bogotá	Traslado de AFP	Porvenir	3	SI
48018	fugado	2017-4	2017	F	 40 	4368711	Medellín	Traslado de AFP	Protección	3	SI
48019	fugado	2017-5	2017	F	 35 	1562831	Bogotá	Traslado de AFP	Porvenir	3	SI
48020	fugado	2017-6	2017	M	 30 	1404663	Bogotá	Traslado de AFP	Porvenir	4	SI
48021	fugado	2017-7	2017	F	 37 	6574455	Bogotá	Traslado de AFP	Skandia	3	SI
48022	fugado	2017-8	2017	F	 30 	1904653	Medellín	Traslado de AFP	Porvenir	1	SI
48023	fugado	2017-9	2017	F	 35 	1916338	Bogotá	Traslado de AFP	Porvenir	2	No
48024	fugado	2017-10	2017	M	 30 	1672144	Bogotá	Vinculación Inicial	Primer Trabajo	3	SI
48025	fugado	2017-11	2017	M	 39 	1472633	Bogotá	Traslado de AFP	Porvenir	4	SI
48026	fugado	2017-12	2017	M	 27 	1347355	Bogotá	Vinculación Inicial	Primer Trabajo	3	No
48027	fugado	2017-1	2017	F	 38 	3696918	Bogotá	Traslado de AFP	Protección	3	SI
48028	fugado	2017-2	2017	F	 30 	1362712	Cali	Traslado de AFP	Porvenir	3	SI
48029	fugado	2017-3	2017	F	 40 	1486395	Bogotá	Traslado de AFP	Porvenir	3	SI
48030	fugado	2017-4	2017	M	 30 	1614291	Bogotá	Traslado de AFP	Porvenir	2	SI
48031	fugado	2017-5	2017	F	 36 	1360995	Medellín	Traslado de AFP	Porvenir	3	SI
48032	fugado	2017-6	2017	M	 30 	3597993	Bogotá	Traslado de AFP	Protección	2	SI
48033	fugado	2017-7	2017	F	 27 	1418717	Bogotá	Vinculación Inicial	Primer Trabajo	1	SI
48034	fugado	2017-8	2017	M	 31 	1712297	Bogotá	Traslado de AFP	Porvenir	3	SI
48035	fugado	2017-9	2017	F	 29 	1575929	Bogotá	Vinculación Inicial	Primer Trabajo	2	SI
48036	fugado	2017-10	2017	F	 35 	1407880	Cali	Traslado de AFP	Porvenir	4	SI
48037	fugado	2017-11	2017	F	 30 	1510362	Bogotá	Vinculación Inicial	Primer Trabajo	2	No
48038	fugado	2017-12	2017	F	 30 	1534827	Bogotá	Traslado de AFP	Porvenir	2	SI
48039	fugado	2017-1	2017	F	 30 	2935876	Bogotá	Traslado de AFP	Protección	3	SI
48040	fugado	2017-2	2017	F	 36 	1532779	Medellín	Traslado de AFP	Porvenir	1	SI
48041	fugado	2017-3	2017	M	 35 	1397847	Bogotá	Traslado de AFP	Porvenir	1	SI
