"ID"	"Estado"	"Periodo"	"año"	"Género"	"Edad"	 "IBC" 	"Ciudad"	"Origen_Afiliado"	"Origen_AFP"	"Nivel_de_Satisfacción"	"PQR"
28	Activo	2017-2	2017	M	 37 	3494989	Bogotá	Traslado de AFP	Protección	10	No
29	Activo	2017-3	2017	M	 35 	2979917	Bogotá	Vinculación Inicial	Primer Trabajo	6	No
30	Activo	2017-4	2017	F	 42 	1226510	Barranquilla	Traslado de AFP	Porvenir	10	No
31	Activo	2017-5	2017	F	 55 	949345	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
32	Activo	2017-6	2017	M	 57 	1893152	Medellín	Vinculación Inicial	Primer Trabajo	10	No
33	Activo	2017-7	2017	F	 54 	4513469	Medellín	Traslado de AFP	Porvenir	8	No
34	Activo	2017-8	2017	F	 38 	1362789	Bogotá	Traslado de AFP	Porvenir	3	No
35	Activo	2017-9	2017	M	 29 	3150429	Bucaramenga	Traslado de AFP	Protección	10	No
36	Activo	2017-10	2017	M	 18 	4149882	Bogotá	Traslado de AFP	Protección	10	No
37	Activo	2017-11	2017	F	 50 	1253766	Cali	Traslado de AFP	Protección	6	Si
38	Activo	2017-12	2017	M	 25 	3901919	Barranquilla	Traslado de AFP	Protección	10	No
39	Activo	2017-1	2017	F	 39 	4409837	Bogotá	Traslado de AFP	Porvenir	4	Si
40	Activo	2017-2	2017	M	 18 	3738901	Bogotá	Vinculación Inicial	Primer Trabajo	5	No
41	Activo	2017-3	2017	M	 43 	1564851	Bogotá	Vinculación Inicial	Primer Trabajo	7	No
42	Activo	2017-4	2017	M	 43 	3953491	Bogotá	Traslado de AFP	Protección	9	No
43	Activo	2017-5	2017	F	 66 	2215788	Bogotá	Traslado de AFP	Porvenir	7	No
44	Activo	2017-6	2017	F	 19 	1764902	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
45	Activo	2017-7	2017	M	 42 	3114328	Bogotá	Traslado de AFP	Porvenir	10	No
46	Activo	2017-8	2017	M	 21 	3771888	Barranquilla	Traslado de AFP	Skandia	10	No
47	Activo	2017-9	2017	M	 28 	5429457	Bogotá	Traslado de AFP	Porvenir	10	Si
48	Activo	2017-10	2017	M	 66 	1708512	Medellín	Vinculación Inicial	Primer Trabajo	9	Si
49	Activo	2017-11	2017	F	 57 	1829725	Bogotá	Traslado de AFP	Protección	10	No
50	Activo	2017-12	2017	M	 66 	4611949	Bogotá	Traslado de AFP	Porvenir	10	No
51	Activo	2017-1	2017	M	 34 	4319502	Barranquilla	Traslado de AFP	Protección	2	No
52	Activo	2017-2	2017	M	 37 	4485385	Bogotá	Traslado de AFP	Porvenir	10	No
53	Activo	2017-3	2017	M	 64 	3578750	Bogotá	Traslado de AFP	Porvenir	5	No
54	Activo	2017-4	2017	M	 46 	1035741	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
55	Activo	2017-5	2017	F	 54 	3275876	Bogotá	Traslado de AFP	Protección	8	No
56	Activo	2017-6	2017	M	 65 	924699	Bucaramenga	Vinculación Inicial	Primer Trabajo	6	No
57	Activo	2017-7	2017	M	 49 	3313987	Cali	Traslado de AFP	Porvenir	6	No
58	Activo	2017-8	2017	F	 18 	4926717	Medellín	Traslado de AFP	Protección	6	No
59	Activo	2017-9	2017	M	 18 	2864969	Cartagena	Traslado de AFP	Protección	10	No
60	Activo	2017-10	2017	M	 48 	1226510	Barranquilla	Traslado de AFP	Porvenir	10	No
61	Activo	2017-11	2017	M	 35 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	9	No
62	Activo	2017-12	2017	M	 23 	3033009	Cartagena	Traslado de AFP	Porvenir	10	No
63	Activo	2017-1	2017	M	 19 	3017928	Cartagena	Traslado de AFP	Porvenir	10	No
64	Activo	2017-2	2017	F	 64 	2864453	Bogotá	Vinculación Inicial	Primer Trabajo	8	Si
65	Activo	2017-3	2017	M	 59 	4442076	Bogotá	Traslado de AFP	Porvenir	10	No
66	Activo	2017-4	2017	M	 28 	1185626	Bucaramenga	Traslado de AFP	Porvenir	6	No
67	Activo	2017-5	2017	F	 66 	2281911	Barranquilla	Traslado de AFP	Protección	9	No
68	Activo	2017-6	2017	F	 39 	1357163	Cartagena	Traslado de AFP	Porvenir	10	No
69	Activo	2017-7	2017	F	 31 	1817387	Medellín	Traslado de AFP	Porvenir	6	No
70	Activo	2017-8	2017	F	 51 	3004816	Bogotá	Traslado de AFP	Porvenir	5	No
71	Activo	2017-9	2017	F	 37 	1738957	Cartagena	Traslado de AFP	Porvenir	10	No
72	Activo	2017-10	2017	F	 18 	3641274	Bogotá	Traslado de AFP	Protección	10	No
73	Activo	2017-11	2017	M	 30 	1362789	Bogotá	Traslado de AFP	Porvenir	7	No
74	Activo	2017-12	2017	M	 18 	2224226	Bogotá	Traslado de AFP	Porvenir	8	No
75	Activo	2017-1	2017	M	 18 	1048693	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
76	Activo	2017-2	2017	M	 24 	5125005	Bogotá	Traslado de AFP	Protección	1	No
77	Activo	2017-3	2017	F	 18 	1951712	Bogotá	Traslado de AFP	Protección	5	No
78	Activo	2017-4	2017	F	 35 	2428862	Bogotá	Traslado de AFP	Porvenir	10	No
79	Activo	2017-5	2017	F	 38 	2972882	Cali	Traslado de AFP	Protección	10	No
80	Activo	2017-6	2017	M	 29 	3657878	Cali	Traslado de AFP	Skandia	8	No
81	Activo	2017-7	2017	F	 46 	3691389	Bogotá	Traslado de AFP	Porvenir	3	No
82	Activo	2017-8	2017	F	 60 	1389528	Bogotá	Traslado de AFP	Porvenir	5	No
83	Activo	2017-9	2017	M	 18 	1883653	Bogotá	Traslado de AFP	Porvenir	10	No
84	Activo	2017-10	2017	M	 46 	2284438	Cali	Traslado de AFP	Protección	10	No
85	Activo	2017-11	2017	M	 21 	1738821	Bogotá	Traslado de AFP	Protección	7	Si
86	Activo	2017-12	2017	F	 30 	4941631	Cali	Traslado de AFP	Skandia	9	No
87	Activo	2017-1	2017	F	 35 	1606118	Bogotá	Vinculación Inicial	Primer Trabajo	7	No
88	Activo	2017-2	2017	F	 53 	2281829	Cartagena	Traslado de AFP	Protección	10	Si
89	Activo	2017-3	2017	M	 52 	1253766	Cali	Traslado de AFP	Skandia	6	No
90	Activo	2017-4	2017	M	 26 	1922737	Bogotá	Traslado de AFP	Protección	10	No
91	Activo	2017-5	2017	M	 18 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	9	No
92	Activo	2017-6	2017	M	 40 	1703472	Cali	Traslado de AFP	Protección	6	No
93	Activo	2017-7	2017	F	 18 	2585710	Medellín	Traslado de AFP	Protección	7	No
94	Activo	2017-8	2017	M	 29 	2880404	Cartagena	Traslado de AFP	Porvenir	10	No
95	Activo	2017-9	2017	F	 27 	2696130	Bogotá	Traslado de AFP	Porvenir	1	No
96	Activo	2017-10	2017	F	 66 	2445429	Barranquilla	Vinculación Inicial	Primer Trabajo	1	No
97	Activo	2017-11	2017	F	 18 	1253766	Cali	Traslado de AFP	Skandia	1	No
98	Activo	2017-12	2017	M	 45 	3319602	Bogotá	Traslado de AFP	Porvenir	10	Si
99	Activo	2017-1	2017	F	 33 	890183	Cali	Vinculación Inicial	Primer Trabajo	9	No
100	Activo	2017-2	2017	F	 65 	2334495	Bucaramenga	Traslado de AFP	Porvenir	8	Si
101	Activo	2017-3	2017	M	 44 	4069528	Barranquilla	Traslado de AFP	Porvenir	9	No
102	Activo	2017-4	2017	F	 47 	5087172	Bogotá	Traslado de AFP	Protección	10	No
103	Activo	2017-5	2017	F	 44 	3093920	Cali	Traslado de AFP	Protección	10	No
104	Activo	2017-6	2017	F	 18 	2502698	Bogotá	Traslado de AFP	Protección	10	No
105	Activo	2017-7	2017	F	 37 	1362789	Bogotá	Traslado de AFP	Protección	4	No
106	Activo	2017-8	2017	M	 41 	4130560	Bogotá	Traslado de AFP	Porvenir	8	No
107	Activo	2017-9	2017	M	 18 	2902870	Bogotá	Traslado de AFP	Porvenir	10	No
108	Activo	2017-10	2017	F	 34 	2801053	Bogotá	Traslado de AFP	Skandia	10	No
109	Activo	2017-11	2017	M	 28 	799503	Cartagena	Vinculación Inicial	Primer Trabajo	8	No
110	Activo	2017-12	2017	F	 18 	3632169	Barranquilla	Traslado de AFP	Porvenir	10	No
111	Activo	2017-1	2017	M	 29 	4918676	Bogotá	Traslado de AFP	Porvenir	8	No
112	Activo	2017-2	2017	M	 34 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
113	Activo	2017-3	2017	M	 59 	2642214	Bogotá	Traslado de AFP	Porvenir	7	No
114	Activo	2017-4	2017	F	 25 	2638749	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
115	Activo	2017-5	2017	M	 56 	3248776	Cali	Traslado de AFP	Porvenir	10	No
116	Activo	2017-6	2017	M	 42 	6280583	Bogotá	Traslado de AFP	Porvenir	8	No
117	Activo	2017-7	2017	M	 66 	3296823	Bogotá	Traslado de AFP	Skandia	4	No
118	Activo	2017-8	2017	F	 64 	1451877	Cartagena	Vinculación Inicial	Primer Trabajo	10	No
119	Activo	2017-9	2017	M	 32 	1554629	Bucaramenga	Vinculación Inicial	Primer Trabajo	6	No
120	Activo	2017-10	2017	F	 35 	1704671	Bogotá	Traslado de AFP	Skandia	8	No
121	Activo	2017-11	2017	M	 41 	2198945	Cali	Traslado de AFP	Protección	10	No
122	Activo	2017-12	2017	F	 21 	790418	Bucaramenga	Vinculación Inicial	Primer Trabajo	10	No
123	Activo	2017-1	2017	M	 44 	817673	Barranquilla	Vinculación Inicial	Primer Trabajo	10	No
124	Activo	2017-2	2017	F	 44 	3054650	Cali	Traslado de AFP	Skandia	8	No
125	Activo	2017-3	2017	M	 44 	817673	Barranquilla	Vinculación Inicial	Primer Trabajo	9	No
126	Activo	2017-4	2017	M	 40 	2280246	Cali	Traslado de AFP	Porvenir	10	No
127	Activo	2017-5	2017	M	 36 	6492673	Bogotá	Traslado de AFP	Skandia	10	No
128	Activo	2017-6	2017	F	 37 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
129	Activo	2017-7	2017	M	 18 	3731483	Bogotá	Traslado de AFP	Porvenir	10	No
130	Activo	2017-8	2017	M	 19 	6335506	Bogotá	Traslado de AFP	Porvenir	1	No
131	Activo	2017-9	2017	M	 18 	4565496	Bogotá	Traslado de AFP	Skandia	5	No
132	Activo	2017-10	2017	M	 50 	3346893	Cali	Traslado de AFP	Skandia	5	No
133	Activo	2017-11	2017	M	 41 	1453792	Cartagena	Traslado de AFP	Porvenir	10	No
134	Activo	2017-12	2017	F	 66 	4448655	Bogotá	Traslado de AFP	Porvenir	5	No
135	Activo	2017-1	2017	M	 65 	4064069	Bogotá	Traslado de AFP	Porvenir	10	No
136	Activo	2017-2	2017	F	 34 	1835043	Bogotá	Traslado de AFP	Protección	8	No
137	Activo	2017-3	2017	M	 46 	4992771	Medellín	Traslado de AFP	Protección	1	No
138	Activo	2017-4	2017	M	 18 	3389532	Bogotá	Vinculación Inicial	Primer Trabajo	5	Si
139	Activo	2017-5	2017	F	 66 	1362789	Bogotá	Traslado de AFP	Porvenir	9	No
140	Activo	2017-6	2017	F	 33 	1845361	Bogotá	Traslado de AFP	Porvenir	10	No
141	Activo	2017-7	2017	M	 24 	2078039	Bogotá	Vinculación Inicial	Primer Trabajo	10	Si
142	Activo	2017-8	2017	F	 18 	2798923	Cali	Traslado de AFP	Porvenir	9	No
143	Activo	2017-9	2017	M	 26 	1362789	Bogotá	Traslado de AFP	Porvenir	8	Si
144	Activo	2017-10	2017	M	 62 	1362789	Bogotá	Traslado de AFP	Porvenir	7	No
145	Activo	2017-11	2017	F	 39 	3335485	Bogotá	Traslado de AFP	Porvenir	9	No
146	Activo	2017-12	2017	F	 39 	5481650	Bogotá	Traslado de AFP	Skandia	10	No
147	Activo	2017-1	2017	F	 24 	3905819	Bogotá	Traslado de AFP	Skandia	10	Si
148	Activo	2017-2	2017	M	 66 	1199254	Cartagena	Traslado de AFP	Porvenir	6	No
149	Activo	2017-3	2017	M	 32 	2134232	Bogotá	Traslado de AFP	Skandia	6	No
150	Activo	2017-4	2017	M	 56 	3004040	Bogotá	Vinculación Inicial	Primer Trabajo	7	No
151	Activo	2017-5	2017	M	 18 	5215484	Bogotá	Traslado de AFP	Porvenir	9	No
152	Activo	2017-6	2017	F	 43 	3647355	Bogotá	Traslado de AFP	Skandia	10	No
153	Activo	2017-7	2017	F	 41 	1042879	Bogotá	Vinculación Inicial	Primer Trabajo	7	No
154	Activo	2017-8	2017	F	 23 	1617872	Cartagena	Traslado de AFP	Protección	8	No
155	Activo	2017-9	2017	F	 19 	3136349	Barranquilla	Traslado de AFP	Protección	9	No
156	Activo	2017-10	2017	F	 18 	2494646	Bogotá	Traslado de AFP	Porvenir	10	No
157	Activo	2017-11	2017	M	 49 	4163812	Bogotá	Traslado de AFP	Porvenir	1	Si
158	Activo	2017-12	2017	M	 28 	2737400	Barranquilla	Traslado de AFP	Porvenir	10	No
159	Activo	2017-1	2017	F	 61 	1226510	Barranquilla	Traslado de AFP	Skandia	7	No
160	Activo	2017-2	2017	F	 23 	1226510	Barranquilla	Traslado de AFP	Protección	8	No
161	Activo	2017-3	2017	M	 41 	4281643	Cartagena	Traslado de AFP	Porvenir	2	No
162	Activo	2017-4	2017	F	 45 	1199254	Cartagena	Traslado de AFP	Protección	7	No
163	Activo	2017-5	2017	M	 59 	1190187	Bogotá	Vinculación Inicial	Primer Trabajo	5	No
164	Activo	2017-6	2017	M	 43 	1226510	Barranquilla	Traslado de AFP	Porvenir	10	No
165	Activo	2017-7	2017	F	 29 	2733447	Barranquilla	Traslado de AFP	Porvenir	6	Si
166	Activo	2017-8	2017	M	 62 	2031366	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
167	Activo	2017-9	2017	M	 39 	2538232	Bogotá	Traslado de AFP	Porvenir	7	No
168	Activo	2017-10	2017	F	 34 	4080365	Cali	Traslado de AFP	Porvenir	10	No
169	Activo	2017-11	2017	F	 29 	1253766	Cali	Traslado de AFP	Protección	10	No
170	Activo	2017-12	2017	M	 24 	1362789	Bogotá	Traslado de AFP	Porvenir	10	No
171	Activo	2017-1	2017	F	 37 	1341802	Cali	Traslado de AFP	Protección	10	No
172	Activo	2017-2	2017	M	 66 	2860608	Bogotá	Traslado de AFP	Porvenir	10	No
173	Activo	2017-3	2017	M	 18 	1226510	Barranquilla	Traslado de AFP	Porvenir	3	No
174	Activo	2017-4	2017	M	 24 	1362789	Bogotá	Traslado de AFP	Protección	10	No
175	Activo	2017-5	2017	M	 40 	1226510	Barranquilla	Traslado de AFP	Porvenir	10	No
176	Activo	2017-6	2017	M	 50 	2177538	Bogotá	Traslado de AFP	Protección	8	No
177	Activo	2017-7	2017	F	 18 	4294777	Medellín	Traslado de AFP	Protección	10	No
178	Activo	2017-8	2017	M	 47 	5575602	Bogotá	Traslado de AFP	Protección	10	No
179	Activo	2017-9	2017	F	 18 	2643328	Cali	Traslado de AFP	Porvenir	5	No
180	Activo	2017-10	2017	M	 49 	1557399	Medellín	Traslado de AFP	Protección	10	No
181	Activo	2017-11	2017	M	 41 	3339827	Cali	Traslado de AFP	Protección	9	No
182	Activo	2017-12	2017	M	 27 	4997091	Bogotá	Traslado de AFP	Porvenir	10	No
183	Activo	2017-1	2017	M	 66 	3542655	Cali	Traslado de AFP	Porvenir	10	No
184	Activo	2017-2	2017	M	 27 	835844	Cali	Vinculación Inicial	Primer Trabajo	4	No
185	Activo	2017-3	2017	F	 18 	2923901	Bogotá	Traslado de AFP	Porvenir	10	Si
186	Activo	2017-4	2017	F	 54 	2798441	Bogotá	Vinculación Inicial	Primer Trabajo	9	No
187	Activo	2017-5	2017	F	 31 	2361532	Bogotá	Traslado de AFP	Porvenir	10	Si
188	Activo	2017-6	2017	F	 55 	1362789	Bogotá	Traslado de AFP	Protección	1	No
189	Activo	2017-7	2017	M	 18 	4442502	Bogotá	Traslado de AFP	Porvenir	6	No
190	Activo	2017-8	2017	M	 62 	1224708	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
191	Activo	2017-9	2017	M	 18 	3039312	Bogotá	Traslado de AFP	Porvenir	10	No
192	Activo	2017-10	2017	M	 22 	5747781	Bogotá	Traslado de AFP	Porvenir	10	Si
193	Activo	2017-11	2017	M	 45 	1574722	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
194	Activo	2017-12	2017	M	 66 	2698726	Bogotá	Traslado de AFP	Protección	10	No
195	Activo	2017-1	2017	F	 44 	1973406	Bogotá	Traslado de AFP	Skandia	3	No
196	Activo	2017-2	2017	F	 18 	2297691	Bucaramenga	Traslado de AFP	Protección	2	No
197	Activo	2017-3	2017	M	 18 	1942186	Bucaramenga	Traslado de AFP	Porvenir	10	No
198	Activo	2017-4	2017	M	 66 	2439300	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
199	Activo	2017-5	2017	M	 45 	835844	Cali	Vinculación Inicial	Primer Trabajo	8	No
200	Activo	2017-6	2017	F	 18 	1199254	Cartagena	Traslado de AFP	Porvenir	3	No
201	Activo	2017-7	2017	M	 59 	2018171	Bogotá	Traslado de AFP	Porvenir	10	No
202	Activo	2017-8	2017	M	 32 	4562293	Barranquilla	Traslado de AFP	Protección	7	No
203	Activo	2017-9	2017	F	 28 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
204	Activo	2017-10	2017	F	 42 	1253766	Cali	Traslado de AFP	Protección	9	No
205	Activo	2017-11	2017	M	 54 	2162961	Barranquilla	Vinculación Inicial	Primer Trabajo	4	No
206	Activo	2017-12	2017	M	 53 	1246291	Barranquilla	Vinculación Inicial	Primer Trabajo	10	No
207	Activo	2017-1	2017	M	 23 	2660119	Cartagena	Traslado de AFP	Protección	10	No
208	Activo	2017-2	2017	M	 18 	3209856	Medellín	Vinculación Inicial	Primer Trabajo	8	No
209	Activo	2017-3	2017	M	 31 	2107346	Medellín	Vinculación Inicial	Primer Trabajo	5	No
210	Activo	2017-4	2017	M	 50 	2784927	Bogotá	Traslado de AFP	Porvenir	8	No
211	Activo	2017-5	2017	M	 49 	1199254	Cartagena	Traslado de AFP	Porvenir	6	No
212	Activo	2017-6	2017	F	 32 	2706605	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
213	Activo	2017-7	2017	M	 36 	2407986	Bogotá	Traslado de AFP	Protección	8	No
214	Activo	2017-8	2017	M	 29 	1825726	Bogotá	Traslado de AFP	Porvenir	9	No
215	Activo	2017-9	2017	M	 66 	4825394	Medellín	Traslado de AFP	Porvenir	10	No
216	Activo	2017-10	2017	F	 41 	1954705	Bogotá	Vinculación Inicial	Primer Trabajo	6	No
217	Activo	2017-11	2017	M	 44 	2062562	Cartagena	Vinculación Inicial	Primer Trabajo	9	No
218	Activo	2017-12	2017	F	 40 	1362789	Bogotá	Traslado de AFP	Porvenir	8	No
219	Activo	2017-1	2017	F	 66 	1362789	Bogotá	Traslado de AFP	Porvenir	10	No
220	Activo	2017-2	2017	M	 52 	2590219	Medellín	Traslado de AFP	Porvenir	10	No
221	Activo	2017-3	2017	M	 35 	1631505	Cali	Traslado de AFP	Porvenir	5	No
222	Activo	2017-4	2017	M	 22 	5963313	Medellín	Traslado de AFP	Porvenir	10	No
223	Activo	2017-5	2017	F	 34 	1294650	Medellín	Traslado de AFP	Porvenir	1	No
224	Activo	2017-6	2017	F	 22 	2368207	Medellín	Traslado de AFP	Protección	7	Si
225	Activo	2017-7	2017	M	 66 	4024309	Bogotá	Traslado de AFP	Protección	10	Si
226	Activo	2017-8	2017	F	 24 	1448537	Medellín	Traslado de AFP	Protección	5	No
227	Activo	2017-9	2017	M	 35 	2628775	Cartagena	Traslado de AFP	Porvenir	10	No
228	Activo	2017-10	2017	M	 18 	2380312	Bogotá	Traslado de AFP	Protección	10	No
229	Activo	2017-11	2017	F	 18 	3071176	Barranquilla	Traslado de AFP	Protección	10	No
230	Activo	2017-12	2017	M	 18 	3005102	Bogotá	Traslado de AFP	Porvenir	10	No
231	Activo	2017-1	2017	M	 54 	4848916	Bogotá	Traslado de AFP	Porvenir	10	No
232	Activo	2017-2	2017	M	 37 	2184624	Barranquilla	Vinculación Inicial	Primer Trabajo	5	No
233	Activo	2017-3	2017	M	 53 	4497251	Cartagena	Traslado de AFP	Porvenir	8	No
234	Activo	2017-4	2017	M	 34 	3219989	Bogotá	Traslado de AFP	Porvenir	5	No
235	Activo	2017-5	2017	M	 46 	1313410	Bogotá	Vinculación Inicial	Primer Trabajo	4	No
236	Activo	2017-6	2017	F	 31 	1362789	Bogotá	Traslado de AFP	Porvenir	7	No
237	Activo	2017-7	2017	M	 32 	1418655	Bogotá	Vinculación Inicial	Primer Trabajo	6	No
238	Activo	2017-8	2017	M	 18 	1489645	Bogotá	Traslado de AFP	Protección	7	No
239	Activo	2017-9	2017	F	 18 	2980047	Medellín	Traslado de AFP	Porvenir	10	Si
240	Activo	2017-10	2017	F	 62 	2073594	Cartagena	Vinculación Inicial	Primer Trabajo	10	Si
241	Activo	2017-11	2017	M	 42 	3322430	Bogotá	Traslado de AFP	Porvenir	7	No
242	Activo	2017-12	2017	M	 31 	1689643	Barranquilla	Traslado de AFP	Porvenir	8	No
243	Activo	2017-1	2017	F	 18 	4629348	Bogotá	Traslado de AFP	Porvenir	6	No
244	Activo	2017-2	2017	M	 44 	2866771	Barranquilla	Traslado de AFP	Porvenir	10	No
245	Activo	2017-3	2017	M	 66 	3489108	Medellín	Traslado de AFP	Porvenir	10	Si
246	Activo	2017-4	2017	M	 25 	4545419	Bogotá	Traslado de AFP	Porvenir	10	No
247	Activo	2017-5	2017	M	 23 	998009	Cartagena	Vinculación Inicial	Primer Trabajo	10	No
248	Activo	2017-6	2017	M	 31 	3956844	Medellín	Traslado de AFP	Protección	10	No
249	Activo	2017-7	2017	M	 25 	4183461	Barranquilla	Traslado de AFP	Porvenir	6	No
250	Activo	2017-8	2017	M	 41 	2200667	Bogotá	Traslado de AFP	Porvenir	10	No
251	Activo	2017-9	2017	M	 66 	908526	Bogotá	Vinculación Inicial	Primer Trabajo	10	No
252	Activo	2017-10	2017	F	 18 	2071786	Medellín	Traslado de AFP	Skandia	7	No
253	Activo	2017-11	2017	M	 56 	3156531	Bucaramenga	Traslado de AFP	Skandia	9	No
254	Activo	2017-12	2017	M	 52 	3118535	Bogotá	Traslado de AFP	Porvenir	8	No
255	Activo	2017-1	2017	M	 31 	937514	Bogotá	Vinculación Inicial	Primer Trabajo	3	Si
256	Activo	2017-2	2017	M	 22 	2370267	Bogotá	Traslado de AFP	Protección	6	Si
257	Activo	2017-3	2017	M	 18 	928351	Bucaramenga	Vinculación Inicial	Primer Trabajo	2	Si
258	Activo	2017-4	2017	F	 29 	1185626	Bucaramenga	Traslado de AFP	Skandia	10	No
259	Activo	2017-5	2017	M	 50 	1362789	Bogotá	Traslado de AFP	Porvenir	10	No
260	Activo	2017-6	2017	F	 57 	3155356	Bogotá	Traslado de AFP	Porvenir	3	No
261	Activo	2017-7	2017	M	 31 	1294650	Medellín	Traslado de AFP	Porvenir	10	No
262	Activo	2017-8	2017	M	 18 	2734860	Barranquilla	Traslado de AFP	Protección	5	No
263	Activo	2017-9	2017	F	 40 	3482520	Bogotá	Vinculación Inicial	Primer Trabajo	8	No
264	Activo	2017-10	2017	F	 35 	2667352	Cartagena	Traslado de AFP	Protección	4	No
265	Activo	2017-11	2017	F	 33 	1591793	Cali	Vinculación Inicial	Primer Trabajo	10	No
266	Activo	2017-12	2017	F	 18 	1686602	Medellín	Traslado de AFP	Protección	1	Si
267	Activo	2017-1	2017	M	 21 	1362789	Bogotá	Traslado de AFP	Protección	4	No
268	Activo	2017-2	2017	M	 46 	1993403	Bogotá	Traslado de AFP	Porvenir	10	No
269	Activo	2017-3	2017	M	 48 	5781943	Bogotá	Traslado de AFP	Skandia	5	No
270	Activo	2017-4	2017	M	 18 	4365285	Medellín	Traslado de AFP	Porvenir	10	No
271	Activo	2017-5	2017	M	 66 	1362789	Bogotá	Traslado de AFP	Skandia	10	No
272	Activo	2017-6	2017	F	 55 	1551285	Bogotá	Traslado de AFP	Protección	2	Si
273	Activo	2017-7	2017	F	 59 	3149090	Medellín	Traslado de AFP	Protección	9	No
274	Activo	2017-8	2017	M	 34 	4053750	Bogotá	Traslado de AFP	Porvenir	5	No
275	Activo	2017-9	2017	M	 50 	2129825	Barranquilla	Vinculación Inicial	Primer Trabajo	10	No
276	Activo	2017-10	2017	F	 52 	3123408	Bogotá	Traslado de AFP	Porvenir	10	No
277	Activo	2017-11	2017	F	 18 	1795081	Barranquilla	Vinculación Inicial	Primer Trabajo	7	No
278	Activo	2017-12	2017	F	 42 	2524174	Bogotá	Traslado de AFP	Protección	6	No
279	Activo	2017-1	2017	F	 49 	1253766	Cali	Traslado de AFP	Porvenir	6	No
280	Activo	2017-2	2017	M	 60 	1916896	Bogotá	Traslado de AFP	Skandia	10	No
